Season Start,Player Name,PTS,PER,TOV,WS,VORP
2011,Antawn Jamison,18.035714285714285,16.8,1.375,2.6,0.5
2012,Antawn Jamison,17.2,16.1,1.3846153846153846,3.1,0.5
2013,Antawn Jamison,9.36842105263158,15.3,0.6973684210526315,4.3,0.4
2014,Anthony Bennett,4.173076923076923,6.9,0.903846153846154,-0.4,-0.9
2015,Anthony Bennett,5.228070175438597,11.4,0.631578947368421,0.3,-0.6
2016,Anthony Bennett,1.4736842105263157,10.4,0.2105263157894736,0.1,-0.2
2016,Anthony Brown,3.9655172413793114,4.9,0.5172413793103449,-0.3,-0.5
2001,Anthony Carter,6.402777777777778,11.3,1.6527777777777777,1.7,0.0
2002,Anthony Carter,4.304347826086956,8.9,1.565217391304348,0.2,-0.5
2003,Anthony Carter,4.061224489795919,9.9,1.653061224489796,-0.2,-0.8
2005,Anthony Carter,2.742424242424242,11.3,0.9393939393939394,0.5,-0.4
2008,Anthony Carter,7.785714285714286,12.8,1.7714285714285714,3.8,0.7
2009,Anthony Carter,5.282051282051282,10.8,1.9871794871794872,1.8,0.1
2010,Anthony Carter,3.333333333333333,10.3,1.0740740740740742,0.9,0.0
2011,Anthony Carter,3.333333333333333,9.2,1.181818181818182,0.2,-0.1
2011,Anthony Carter,1.8571428571428568,5.4,1.0,-0.1,-0.1
2011,Anthony Carter,4.421052631578948,11.1,1.3157894736842106,0.3,0.0
2013,Anthony Davis,13.546875,21.7,1.390625,6.1,2.0
2014,Anthony Davis,20.80597014925373,26.5,1.626865671641791,10.4,3.9
2015,Anthony Davis,24.352941176470587,30.8,1.3970588235294117,14.0,5.7
2016,Anthony Davis,24.27868852459016,25.0,1.9836065573770487,7.2,2.3
2017,Anthony Davis,27.986666666666668,27.5,2.4133333333333336,11.0,3.9
2004,Anthony Goldwire,1.5454545454545454,8.8,0.2727272727272727,0.1,0.0
2004,Anthony Goldwire,2.6,10.7,0.4,0.1,0.0
2005,Anthony Goldwire,5.212121212121212,15.1,0.4545454545454545,1.5,0.3
2005,Anthony Goldwire,2.0,7.4,0.1111111111111111,0.1,-0.1
2005,Anthony Goldwire,6.416666666666667,15.9,0.5833333333333334,1.4,0.4
2002,Anthony Johnson,2.764705882352941,11.8,0.5882352941176471,0.7,0.1
2003,Anthony Johnson,4.090909090909091,11.3,0.6212121212121212,1.8,-0.1
2004,Anthony Johnson,6.164383561643835,11.6,1.0273972602739727,3.6,0.6
2005,Anthony Johnson,8.444444444444445,14.3,1.5238095238095235,4.0,0.9
2006,Anthony Johnson,9.213333333333331,14.2,1.5333333333333334,4.5,0.9
2008,Anthony Johnson,5.608695652173913,11.2,1.2173913043478262,2.0,-0.4
2008,Anthony Johnson,6.738095238095238,12.0,1.1904761904761905,1.8,-0.1
2008,Anthony Johnson,3.851851851851852,8.9,1.2592592592592593,0.2,-0.3
2009,Anthony Johnson,5.2625,10.3,1.025,2.8,0.3
2002,Anthony Mason,9.597560975609756,12.9,1.5853658536585369,6.4,1.8
2003,Anthony Mason,7.1692307692307695,11.3,1.2153846153846153,3.1,0.6
2009,Anthony Morrow,10.08955223880597,14.7,0.7761194029850746,3.0,0.4
